# of Units,Incident Alarm Time,Problem Type,Location,Location Type
1,04/20/2018 19:05:27,Motor vehicle accident with no injuries,1901 N Mill ST ,Highway or divided highway
1,04/20/2018 19:26:12,"EMS call, excluding vehicle accident with injury",310 N IH 35  ,Restaurant or cafeteria
0,04/20/2018 20:04:45,"EMS call, excluding vehicle accident with injury",1850  Aquarena Springs DR ,Multifamily dwellings
1,04/20/2018 20:37:25,"Smoke detector activation, no fire - unintentional",1012  Hwy 123  ,Restaurant or cafeteria
8,04/20/2018 21:25:50,Building fire - Residential,450  Burleson ST ,Multifamily dwellings
1,04/20/2018 23:58:35,Vehicle accident with injuries,100 W Hopkins ST ,Street or road in commercial area
1,04/21/2018 0:57:34,"Medical assist, assist EMS crew",1340 W Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
1,04/21/2018 5:27:46,No incident found on arrival at dispatch address,1650  River RD ,Multifamily dwellings
1,04/21/2018 8:03:35,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
1,04/21/2018 11:56:24,"EMS call, excluding vehicle accident with injury",218 W Sessom DR ,1 or 2 family dwelling
1,04/21/2018 12:03:46,"EMS call, excluding vehicle accident with injury",  Thorpe LN ,Street or road in commercial area
1,04/21/2018 13:01:50,Motor vehicle accident with no injuries,1800  Aquarena Springs DR ,Street or road in commercial area
1,04/21/2018 13:23:46,"EMS call, excluding vehicle accident with injury",517  Candlelight LN ,1 or 2 family dwelling
1,04/21/2018 13:26:40,Motor vehicle accident with no injuries,300 S LBJ DR ,Street or road in commercial area
1,04/21/2018 13:37:02,"Good intent call, other",641 E Hopkins ST ,"Food and beverage sales, grocery store"
1,04/21/2018 16:48:15,"EMS call, excluding vehicle accident with injury",2800  Hwy 21  ,"Clinic, clinic-type infirmary"
1,04/21/2018 19:42:56,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,04/21/2018 22:42:38,"Medical assist, assist EMS crew",420  North ST ,Multifamily dwellings
1,04/21/2018 23:39:45,Motor vehicle accident with no injuries, E Sessom DR ,Street or road in commercial area
1,04/21/2018 23:41:44,"False alarm or false call, other",1980  Aquarena Springs DR ,Multifamily dwellings
1,04/22/2018 1:41:43,"Medical assist, assist EMS crew",139 E Hopkins ST ,Bar or nightclub
0,04/22/2018 2:59:02,"EMS call, excluding vehicle accident with injury",2913  Hunter RD ,Multifamily dwellings
1,04/22/2018 3:38:04,"EMS call, excluding vehicle accident with injury",1101  Leah AVE ,Multifamily dwellings
3,04/22/2018 4:05:01,Motor vehicle/pedestrian accident (MV Ped),201  NB  ,Highway or divided highway
1,04/22/2018 8:16:43,"Smoke detector activation, no fire - unintentional",105  Bintu DR ,"Hotel/motel, commercial"
1,04/22/2018 9:19:19,"EMS call, excluding vehicle accident with injury",1261 W San Antonio ST ,1 or 2 family dwelling
1,04/22/2018 11:37:36,"EMS call, excluding vehicle accident with injury",301 N Guadalupe ST ,"Clinic, clinic-type infirmary"
1,04/22/2018 13:02:55,"EMS call, excluding vehicle accident with injury",1003 N LBJ DR ,1 or 2 family dwelling
2,04/22/2018 13:47:44,Motor vehicle accident with no injuries,  Aquarena Springs DR ,"Street, other"
1,04/22/2018 14:14:31,"EMS call, excluding vehicle accident with injury",1034  Sycamore ST ,1 or 2 family dwelling
5,04/22/2018 14:17:53,"Fire, other",1201  Thorpe LN ,1 or 2 family dwelling
1,04/22/2018 14:40:54,"Medical assist, assist EMS crew",3939 S IH 35  ,Vehicle parking area
1,04/22/2018 15:25:10,"Medical assist, assist EMS crew",1000  Prospect ST ,Vehicle parking area
1,04/22/2018 15:26:18,"EMS call, excluding vehicle accident with injury",511  Old Settlers DR ,1 or 2 family dwelling
0,04/22/2018 15:46:07,"EMS call, excluding vehicle accident with injury",  Matthews ST ,"Residential street, road or residential driveway"
1,04/22/2018 19:05:59,No incident found on arrival at dispatch address,1602  Aquarena Springs DR ,"Food and beverage sales, grocery store"
1,04/22/2018 19:17:40,"Smoke detector activation, no fire - unintentional",2600  Hunter RD ,Multifamily dwellings
1,04/22/2018 19:35:49,"EMS call, excluding vehicle accident with injury",1413  Harper DR ,1 or 2 family dwelling
1,04/22/2018 23:22:08,"Trash or rubbish fire, contained",311 W Hopkins ST ,"Parking garage, general vehicle"
6,04/23/2018 3:19:00,"Cooking fire, confined to container",301  Student Center DR ,"Food and beverage sales, grocery store"
1,04/23/2018 9:58:20,"EMS call, excluding vehicle accident with injury",109  Colleen CT ,1 or 2 family dwelling
1,04/23/2018 12:10:23,"Smoke detector activation, no fire - unintentional",503  Springtown WAY ,Multifamily dwellings
1,04/23/2018 13:52:15,Vehicle accident with injuries,  Aquarena Springs DR ,Street or road in commercial area
1,04/23/2018 15:23:53,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
2,04/23/2018 16:40:41,Vehicle accident with injuries,202  SB  ,Highway or divided highway
3,04/23/2018 18:21:18,Vehicle accident with injuries,210  NB  ,Highway or divided highway
1,04/23/2018 20:59:08,Search for person on land,1751  Valencia WAY ,Open land or field
1,04/23/2018 22:00:15,"EMS call, excluding vehicle accident with injury",6  Timbercrest  ,1 or 2 family dwelling
1,04/24/2018 2:43:21,"EMS call, excluding vehicle accident with injury",503  Uhland RD ,1 or 2 family dwelling
1,04/24/2018 8:07:34,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,04/24/2018 8:31:40,"EMS call, excluding vehicle accident with injury",1400  Old Ranch Road 12  ,Restaurant or cafeteria
0,04/24/2018 9:48:35,"EMS call, excluding vehicle accident with injury",1050  McKinley Place DR ,Department or discount store
2,04/24/2018 10:14:32,"EMS call, excluding vehicle accident with injury",706  Uhland RD ,1 or 2 family dwelling
1,04/24/2018 15:18:50,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,04/24/2018 17:26:53,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,04/24/2018 20:08:52,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
0,04/24/2018 21:06:13,Motor vehicle accident with no injuries,2300 S IH 35  ,Highway or divided highway
1,04/24/2018 23:37:49,"EMS call, excluding vehicle accident with injury",204  Sherwood DR ,1 or 2 family dwelling
1,04/25/2018 7:34:15,Motor vehicle accident with no injuries,113 S Mitchell AVE ,1 or 2 family dwelling
1,04/25/2018 7:59:05,Motor vehicle accident with no injuries,  Charles Austin DR ,Highway or divided highway
1,04/25/2018 9:22:20,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
2,04/25/2018 15:13:22,Motor vehicle accident with no injuries,3200 N IH 35  ,Highway or divided highway
2,04/25/2018 15:38:24,Vehicle accident with injuries, N LBJ DR ,Street or road in commercial area
1,04/25/2018 16:22:58,Motor vehicle accident with no injuries,  Roberts ST ,Highway or divided highway
1,04/25/2018 17:27:58,"Medical assist, assist EMS crew",603  Uhland RD ,1 or 2 family dwelling
1,04/25/2018 18:00:49,Vehicle accident with injuries,1301  Wonder World DR ,Street or road in commercial area
1,04/25/2018 20:29:05,"EMS call, excluding vehicle accident with injury",1101  San Marcos PKWY ,Multifamily dwellings
1,04/25/2018 21:43:45,"EMS call, excluding vehicle accident with injury",609  Bracewood CIR ,Multifamily dwellings
1,04/26/2018 1:37:33,"EMS call, excluding vehicle accident with injury",414  Patricia DR ,1 or 2 family dwelling
1,04/26/2018 1:55:52,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,04/26/2018 3:53:42,"Medical assist, assist EMS crew",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,04/26/2018 7:34:25,"EMS call, excluding vehicle accident with injury",113  Kathryn CV ,1 or 2 family dwelling
6,04/26/2018 9:11:55,"Electrical  wiring/equipment problem, other",3000  Summit RDG ,1 or 2 family dwelling
2,04/26/2018 12:37:53,No incident found on arrival at dispatch address,205  NB  ,Highway or divided highway
2,04/26/2018 14:51:03,Lock-out,1109  Sycamore ST ,"Residential street, road or residential driveway"
1,04/26/2018 16:18:11,No incident found on arrival at dispatch address,  Craddock AVE ,"Residential street, road or residential driveway"
1,04/26/2018 17:57:52,"Smoke detector activation, no fire - unintentional",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,04/26/2018 19:04:31,Lock-out,4015 S IH 35  ,Department or discount store
1,04/26/2018 19:29:03,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,04/26/2018 19:52:43,"EMS call, excluding vehicle accident with injury",306  Field Corn LN ,1 or 2 family dwelling
0,04/26/2018 21:50:10,"EMS call, excluding vehicle accident with injury",1250  Wonder World DR ,Movie theater
1,04/27/2018 2:36:46,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
0,04/27/2018 2:49:08,"EMS call, excluding vehicle accident with injury",1310  River RD ,1 or 2 family dwelling
0,04/27/2018 2:53:26,Vehicle accident with injuries,207  SB  ,Highway or divided highway
0,04/27/2018 3:06:13,"EMS call, excluding vehicle accident with injury",1400  Clarewood DR ,Multifamily dwellings
1,04/27/2018 4:26:05,"Good intent call, other",300 S Stagecoach TRL ,Multifamily dwellings
0,04/27/2018 7:09:22,"EMS call, excluding vehicle accident with injury",2301  Hunter RD ,Warehouse
1,04/27/2018 7:45:15,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
2,04/27/2018 8:06:10,No incident found on arrival at dispatch address, W San Antonio ST ,1 or 2 family dwelling
1,04/27/2018 12:06:54,"Medical assist, assist EMS crew",122  Riviera ST ,1 or 2 family dwelling
1,04/27/2018 15:00:33,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,04/27/2018 15:40:08,"EMS call, excluding vehicle accident with injury",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
0,04/27/2018 16:31:25,Vehicle accident with injuries,205  SB  ,Highway or divided highway
1,04/27/2018 16:40:48,Chemical hazard (no spill or leak),900 N IH 35  ,Restaurant or cafeteria
1,04/27/2018 17:46:50,No incident found on arrival at dispatch address,1354  Thorpe LN ,Multifamily dwellings
1,04/27/2018 18:30:39,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,04/27/2018 18:59:57,"Medical assist, assist EMS crew",1701  Mill ST ,Multifamily dwellings
1,04/28/2018 2:12:50,Gasoline or other flammable liquid spill,641 E Hopkins ST ,"Food and beverage sales, grocery store"
1,04/28/2018 2:42:33,"Medical assist, assist EMS crew",641 E Hopkins ST ,"Food and beverage sales, grocery store"
1,04/28/2018 4:01:23,No incident found on arrival at dispatch address,200  Uhland RD ,Multifamily dwellings
1,04/28/2018 4:51:26,"EMS call, excluding vehicle accident with injury",614  Franklin DR ,1 or 2 family dwelling
1,04/28/2018 14:59:19,"Medical assist, assist EMS crew",108 W Mimosa CIR ,1 or 2 family dwelling
1,04/28/2018 17:04:28,"EMS call, excluding vehicle accident with injury",801  River RD ,Multifamily dwellings
1,04/28/2018 18:57:34,Motor vehicle accident with no injuries,  Leah AVE ,Street or road in commercial area
1,04/28/2018 19:04:26,"Medical assist, assist EMS crew",503  Springtown WAY ,Multifamily dwellings
2,04/28/2018 20:51:18,"False alarm or false call, other",120  Bert Brown RD ,"Health care, detention, & correction, other"
1,04/28/2018 23:51:41,"Medical assist, assist EMS crew",503  Springtown WAY ,Multifamily dwellings
1,04/29/2018 1:26:35,"Unintentional transmission of alarm, other",100 N IH 35  ,Restaurant or cafeteria
6,04/29/2018 2:23:50,"Smoke scare, odor of smoke",100 N IH 35  ,Restaurant or cafeteria
2,04/29/2018 7:55:50,Vehicle accident with injuries,208  SB  ,Highway or divided highway
1,04/29/2018 9:48:50,"EMS call, excluding vehicle accident with injury",4440  Old Stagecoach RD ,Open land or field
1,04/29/2018 10:23:31,"EMS call, excluding vehicle accident with injury",817  Chestnut ST ,Vehicle parking area
1,04/29/2018 12:34:51,Vehicle accident with injuries,  Aquarena Springs DR ,Street or road in commercial area
1,04/29/2018 13:22:55,"EMS call, excluding vehicle accident with injury",1800  Post RD ,"Residential street, road or residential driveway"
2,04/29/2018 16:53:32,No incident found on arrival at dispatch address,  Hwy 80  ,Street or road in commercial area
1,04/29/2018 18:03:13,"EMS call, excluding vehicle accident with injury",308  Oak Ridge DR ,1 or 2 family dwelling
1,04/29/2018 20:40:46,Motor vehicle accident with no injuries,  Craddock AVE ,"Residential street, road or residential driveway"
3,04/29/2018 22:26:27,Assist police or other governmental agency,1629  Post RD ,Multifamily dwellings
1,04/30/2018 6:20:58,"EMS call, excluding vehicle accident with injury",2527  Arroyo Doble  ,1 or 2 family dwelling
1,04/30/2018 6:34:34,"Medical assist, assist EMS crew",300 S Stagecoach TRL ,Residential board and care
0,04/30/2018 7:49:18,Power line down,619 S Guadalupe ST ,"Outside or special property, other"
1,04/30/2018 8:52:55,Assist police or other governmental agency,121 E DeZavala DR ,"Elementary school, including kindergarten"
1,04/30/2018 9:42:27,"EMS call, excluding vehicle accident with injury",101  Pleasant ST ,"Adult education center, college classroom"
2,04/30/2018 10:04:23,Motor vehicle accident with no injuries,900  Aquarena Springs DR ,Street or road in commercial area
1,04/30/2018 11:41:58,"EMS call, excluding vehicle accident with injury",1307  Uhland RD ,"Jail, prison (not juvenile)"
1,04/30/2018 12:00:38,"Unintentional transmission of alarm, other",120  Bert Brown RD ,Residential board and care
1,04/30/2018 12:44:46,Assist police or other governmental agency,1202  Thorpe LN ,Multifamily dwellings
1,04/30/2018 13:42:25,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,04/30/2018 16:33:40,Motor vehicle accident with no injuries,  Hunter RD ,Street or road in commercial area
2,04/30/2018 17:49:18,Motor vehicle accident with no injuries, W Sessom DR ,"Street, other"
1,04/30/2018 19:15:01,Removal of victim(s) from stalled elevator,401 N Fredericksburg ST ,Multifamily dwellings
1,04/30/2018 20:06:23,Alarm system sounded due to malfunction,111  Centerpoint CT ,"Hotel/motel, commercial"
1,04/30/2018 22:07:05,"Medical assist, assist EMS crew",1106 N IH 35  ,"Health care, detention, & correction, other"
1,05/01/2018 0:57:11,Dumpster or other outside trash receptacle fire,1301  Aquarena Springs DR ,Multifamily dwellings
1,05/01/2018 1:12:28,"EMS call, excluding vehicle accident with injury",229 W Sierra CIR ,1 or 2 family dwelling
1,05/01/2018 3:52:14,"EMS call, excluding vehicle accident with injury",518  Linda DR ,Multifamily dwellings
1,05/01/2018 9:23:24,Lock-out,800 N IH 35  ,"Mercantile, business, other"
1,05/01/2018 10:59:27,Motor vehicle accident with no injuries,  University DR ,Street or road in commercial area
1,05/01/2018 15:47:45,"EMS call, excluding vehicle accident with injury",101 W Woods ST ,"Barracks, dormitory"
6,05/01/2018 16:13:22,"Cooking fire, confined to container",1800  Post RD ,Multifamily dwellings
1,05/01/2018 16:38:48,Passenger vehicle fire,900  Bugg LN ,"Residential street, road or residential driveway"
0,05/01/2018 17:32:08,"EMS call, excluding vehicle accident with injury",401 E McCarty LN ,1 or 2 family dwelling
1,05/01/2018 18:45:01,Assist invalid,211  Orchard ST ,1 or 2 family dwelling
1,05/01/2018 20:24:18,Dumpster or other outside trash receptacle fire,106  Ladybird LN ,Vehicle parking area
2,05/02/2018 0:07:36,Vehicle accident with injuries,3100 N IH 35 WAY ,Street or road in commercial area
1,05/02/2018 2:11:01,"EMS call, excluding vehicle accident with injury",109 E Hillcrest DR ,1 or 2 family dwelling
1,05/02/2018 2:22:45,"Medical assist, assist EMS crew",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,05/02/2018 5:48:08,No incident found on arrival at dispatch address,1980  Aquarena Springs DR ,Multifamily dwellings
1,05/02/2018 7:35:49,Dispatched & cancelled en route,952  Cheatham ST ,1 or 2 family dwelling
1,05/02/2018 8:35:19,Public service,211  Orchard ST ,1 or 2 family dwelling
1,05/02/2018 8:58:09,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,05/02/2018 13:03:46,"EMS call, excluding vehicle accident with injury",1320  Wonder World DR ,"Clinic, clinic-type infirmary"
2,05/02/2018 13:40:35,Smoke detector activation due to malfunction,130 W Holland ST ,"Day care, in commercial property"
1,05/02/2018 13:41:14,Wrong location,1600 N IH 35 RD ,"Health care, detention, & correction, other"
1,05/02/2018 15:40:58,No incident found on arrival at dispatch address,1202 S IH 35  ,Vehicle parking area
2,05/02/2018 17:03:23,"EMS call, excluding vehicle accident with injury",2  Timbercrest  ,1 or 2 family dwelling
1,05/02/2018 19:27:24,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
4,05/02/2018 20:45:49,Passenger vehicle fire,920  Hwy 80  ,"Parking garage, general vehicle"
2,05/02/2018 23:13:06,Vehicle accident with injuries,  EXIT 200 SB  ,Highway or divided highway
1,05/03/2018 0:31:18,"EMS call, excluding vehicle accident with injury",4210 S IH 35  ,"Hotel/motel, commercial"
1,05/03/2018 0:49:51,"Service Call, other",1201  Thorpe LN ,1 or 2 family dwelling
1,05/03/2018 2:17:56,"EMS call, excluding vehicle accident with injury",608  Bracewood CIR ,Multifamily dwellings
2,05/03/2018 5:27:15,Dumpster or other outside trash receptacle fire,1701  Mill ST ,Vehicle parking area
2,05/03/2018 5:54:14,Dumpster or other outside trash receptacle fire,1629  Post RD ,Vehicle parking area
1,05/03/2018 11:04:36,"EMS call, excluding vehicle accident with injury",  Hunter RD ,Street or road in commercial area
1,05/03/2018 11:06:47,"Medical assist, assist EMS crew",715  Valley ST ,"Clubs, other"
1,05/03/2018 11:25:20,CO detector activation due to malfunction,900  Barnes DR ,"Hotel/motel, commercial"
1,05/03/2018 11:45:13,Attempt to burn,  Moore ST ,1 or 2 family dwelling
1,05/03/2018 12:31:42,"Smoke scare, odor of smoke",641 E Hopkins ST ,Street or road in commercial area
1,05/03/2018 15:42:19,Dispatched & cancelled en route,518  Linda DR ,Multifamily dwellings
6,05/03/2018 15:51:37,"Excessive heat, scorch burns with no ignition",109  West AVE ,Multifamily dwellings
1,05/03/2018 16:01:39,Motor vehicle accident with no injuries,1012  Hwy 123  ,Highway or divided highway
1,05/03/2018 17:38:46,Motor vehicle accident with no injuries,  Aquarena Springs DR ,Street or road in commercial area
0,05/04/2018 4:35:44,"EMS call, excluding vehicle accident with injury",1441  Leah AVE ,Multifamily dwellings
1,05/04/2018 6:02:44,"EMS call, excluding vehicle accident with injury",1128  Overlook WAY ,1 or 2 family dwelling
1,05/04/2018 9:08:42,Public service,  University DR ,Street or road in commercial area
1,05/04/2018 9:21:21,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,Hemodialysis unit
4,05/04/2018 9:38:20,Vehicle accident with injuries,  Hwy 123  ,Highway or divided highway
2,05/04/2018 10:14:01,Motor vehicle accident with no injuries,209  N IH 35  ,Highway or divided highway
2,05/04/2018 10:50:52,Motor vehicle accident with no injuries,205  NB  ,Highway or divided highway
2,05/04/2018 10:58:54,Motor vehicle accident with no injuries,  Hwy 123  ,Highway or divided highway
1,05/04/2018 11:42:47,Assist invalid,910  Dale DR ,1 or 2 family dwelling
1,05/04/2018 12:40:16,"EMS call, excluding vehicle accident with injury",2913  Hunter RD ,Multifamily dwellings
2,05/04/2018 13:21:12,Vehicle accident with injuries,202  SB  ,Highway or divided highway
1,05/04/2018 14:00:32,Gas leak (natural gas or LPG),150  Buckner ST ,Steam or heat generating plant
2,05/04/2018 14:04:38,Vehicle accident with injuries,206  SB  ,Highway or divided highway
2,05/04/2018 14:27:05,Vehicle accident with injuries, W Sessom DR ,"Residential street, road or residential driveway"
3,05/04/2018 14:56:36,Vehicle accident with injuries,208  SB  ,Highway or divided highway
2,05/04/2018 15:02:32,Dispatched & cancelled en route,207  NB  ,Highway or divided highway
1,05/04/2018 16:02:57,Motor vehicle accident with no injuries, E Access RD ,"Street, other"
1,05/04/2018 17:17:33,Public service,203  NB  ,Highway or divided highway
2,05/04/2018 17:49:26,Assist police or other governmental agency,200  NB  ,Highway or divided highway
1,05/04/2018 19:56:34,"EMS call, excluding vehicle accident with injury",326 W Hopkins ST ,"Parking garage, general vehicle"
2,05/04/2018 20:27:25,Motor vehicle accident with no injuries,1500 S IH 35  ,Highway or divided highway
1,05/04/2018 20:35:45,"EMS call, excluding vehicle accident with injury",124  Smith LN ,1 or 2 family dwelling
1,05/04/2018 22:40:01,"EMS call, excluding vehicle accident with injury",1101  Leah AVE ,Multifamily dwellings
1,05/04/2018 23:46:00,"EMS call, excluding vehicle accident with injury",1818  Old Ranch Road 12  ,Multifamily dwellings
1,05/05/2018 3:51:45,"EMS call, excluding vehicle accident with injury",1008 N Bishop ST ,1 or 2 family dwelling
1,05/05/2018 4:15:49,"EMS call, excluding vehicle accident with injury",801  River RD ,Multifamily dwellings
1,05/05/2018 8:42:33,"Steam, vapor, fog or dust thought to be smoke",726  Easton DR ,1 or 2 family dwelling
1,05/05/2018 10:33:28,"EMS call, excluding vehicle accident with injury",1320  Wonder World DR ,"Clinic, clinic-type infirmary"
1,05/05/2018 11:27:15,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,05/05/2018 13:29:50,"EMS call, excluding vehicle accident with injury",1631  Aquarena Springs DR ,Multifamily dwellings
3,05/05/2018 14:12:09,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
0,05/05/2018 15:01:20,Vehicle accident with injuries,202  NB  ,Highway or divided highway
1,05/05/2018 15:05:13,No incident found on arrival at dispatch address,  Hwy 80  ,"Bridge, trestle"
2,05/05/2018 17:03:55,Motor vehicle accident with no injuries,202  NB  ,Highway or divided highway
1,05/05/2018 18:13:20,Vehicle accident with injuries,1700  Old Ranch Road 12  ,Highway or divided highway
1,05/05/2018 20:36:30,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,"Clinic, clinic-type infirmary"
1,05/05/2018 20:56:49,No incident found on arrival at dispatch address,  Post RD ,Street or road in commercial area
1,05/05/2018 21:02:29,Oil or other combustible liquid spill,937  Hwy 80  ,Outside material storage area
1,05/05/2018 21:24:57,"EMS call, excluding vehicle accident with injury",1011  Uhland RD ,1 or 2 family dwelling
0,05/06/2018 2:24:39,"EMS call, excluding vehicle accident with injury",1975  Aquarena Springs DR ,Multifamily dwellings
1,05/06/2018 2:46:21,"EMS call, excluding vehicle accident with injury",1410 N LBJ DR ,Multifamily dwellings
0,05/06/2018 7:26:11,"EMS call, excluding vehicle accident with injury",1001  Franklin DR ,1 or 2 family dwelling
1,05/06/2018 9:46:39,"EMS call, excluding vehicle accident with injury",1001  Franklin DR ,1 or 2 family dwelling
1,05/06/2018 11:15:00,"EMS call, excluding vehicle accident with injury",1001  Franklin DR ,1 or 2 family dwelling
1,05/06/2018 13:05:21,"Medical assist, assist EMS crew",417 N Comanche ST ,Multifamily dwellings
1,05/06/2018 16:13:38,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,Multifamily dwellings
2,05/06/2018 16:48:10,Vehicle accident with injuries,205  SB  ,Highway or divided highway
1,05/06/2018 17:25:29,Motor vehicle accident with no injuries,  Staples RD ,Highway or divided highway
2,05/06/2018 18:14:31,"Medical assist, assist EMS crew",114 E Hutchison ST ,Street or road in commercial area
1,05/06/2018 18:36:36,"EMS call, excluding vehicle accident with injury",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
1,05/06/2018 18:54:21,"Medical assist, assist EMS crew",401 N Fredericksburg ST ,Multifamily dwellings
1,05/06/2018 20:18:27,"EMS call, excluding vehicle accident with injury",705  River RD ,Multifamily dwellings
2,05/06/2018 22:47:00,"Smoke scare, odor of smoke",1300  Hazelton ST ,Open land or field
1,05/07/2018 9:00:04,"EMS call, excluding vehicle accident with injury",1631  Aquarena Springs DR ,Multifamily dwellings
1,05/07/2018 10:03:40,"EMS call, excluding vehicle accident with injury",737  Gravel ST ,1 or 2 family dwelling
1,05/07/2018 15:01:45,"Medical assist, assist EMS crew",1015  Hwy 80  ,Department or discount store
1,05/07/2018 16:06:42,"EMS call, excluding vehicle accident with injury",712 S Stagecoach TRL ,Courthouse
1,05/07/2018 17:13:39,"EMS call, excluding vehicle accident with injury",2131 N IH 35  ,"Hotel/motel, commercial"
1,05/07/2018 17:30:02,Public service,1601 N IH 35  ,Street or road in commercial area
1,05/07/2018 18:25:36,Lock-out,1290  Wonder World DR ,Vehicle parking area
6,05/07/2018 20:36:54,"Alarm system sounded, no fire - unintentional",600 N Lbj DR ,"Dormitory type residence, other"
1,05/07/2018 23:28:58,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,05/08/2018 2:27:19,Dispatched & cancelled en route, N Guadalupe ST ,Street or road in commercial area
1,05/08/2018 4:06:52,"EMS call, excluding vehicle accident with injury",220  Orchard ST ,1 or 2 family dwelling
1,05/08/2018 6:39:20,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Multifamily dwellings
1,05/08/2018 8:01:52,Alarm system sounded due to malfunction,833  Belvin ST ,1 or 2 family dwelling
1,05/08/2018 9:54:50,Passenger vehicle fire,210  SB  ,Highway or divided highway
1,05/08/2018 11:11:22,"EMS call, excluding vehicle accident with injury",1906 N IH 35  ,Street or road in commercial area
1,05/08/2018 15:45:26,"EMS call, excluding vehicle accident with injury",951  Moore ST ,"Dormitory type residence, other"
2,05/08/2018 16:04:37,Motor vehicle accident with no injuries,205  NB  ,Highway or divided highway
0,05/08/2018 20:17:48,"Person in distress, other",600  Leah AVE ,Multifamily dwellings
1,05/08/2018 23:24:49,Assist invalid,211  Orchard ST ,1 or 2 family dwelling
1,05/09/2018 1:04:44,Assist invalid,1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,05/09/2018 9:03:09,"Electrical  wiring/equipment problem, other",500 W MLK DR ,"Residential street, road or residential driveway"
1,05/09/2018 9:39:38,Lock-out,201  First ST ,Vehicle parking area
7,05/09/2018 9:52:02,"Smoke scare, odor of smoke",2001  Ramona CIR ,1 or 2 family dwelling
1,05/09/2018 13:41:50,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,05/09/2018 14:08:50,"Detector activation, no fire - unintentional",1101 E River Ridge PKWY ,Multifamily dwellings
1,05/09/2018 15:40:47,Dispatched & cancelled en route,813  Bracewood CIR ,Multifamily dwellings
1,05/09/2018 17:37:46,"Medical assist, assist EMS crew",700  Aquarena Springs DR ,Vehicle parking area
1,05/09/2018 21:03:02,"Medical assist, assist EMS crew",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,05/10/2018 8:02:03,"EMS call, excluding vehicle accident with injury",319  Smith LN ,1 or 2 family dwelling
0,05/10/2018 9:21:22,"EMS call, excluding vehicle accident with injury",411  Parker DR ,1 or 2 family dwelling
2,05/10/2018 10:10:30,"EMS call, excluding vehicle accident with injury",2913  Hunter RD ,1 or 2 family dwelling
2,05/10/2018 10:44:45,Dispatched & cancelled en route,199  NB  ,Highway or divided highway
1,05/10/2018 13:03:51,"EMS call, excluding vehicle accident with injury",901  Snyder Hill DR ,1 or 2 family dwelling
2,05/10/2018 13:31:19,Vehicle accident with injuries,  EXIT 210 NB  ,Highway or divided highway
1,05/10/2018 13:51:27,"EMS call, excluding vehicle accident with injury",1202  Adrian ST ,1 or 2 family dwelling
4,05/10/2018 15:17:38,Vehicle accident with injuries,3200 N IH 35  ,Highway or divided highway
