Incident Number,Date,Time,Address,Incident Type,Completed,Reviewed
0001237 - 000,3/23/19,0:39:55,128 Clemens St ,412 - Gas leak (natural gas or LPG),Yes,Yes
0001238 - 000,3/23/19,1:44:52,184 Backhorn Ln ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001239 - 000,3/23/19,2:48:30,N Guadalupe St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0001241 - 000,3/23/19,3:15:11,2211 S IH 35 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0001242 - 000,3/23/19,3:39:49,1720 Old Ranch Road 12  # 135 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001243 - 000,3/23/19,8:33:52,625 E Hopkins St  # PLOT ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001244 - 000,3/23/19,9:50:35,1720 Old Ranch Road 12  # 227 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001245 - 000,3/23/19,11:12:31,519 McGehee St ,"550 - Public service assistance, other",Yes,Yes
0001246 - 000,3/23/19,13:06:13,120 Bert Brown Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0001247 - 000,3/23/19,13:23:22,718 Barbara Dr ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001248 - 000,3/23/19,14:18:54,102 N LBJ Dr  # 200 ,551 - Assist police or other governmental agency,Yes,Yes
0001249 - 000,3/23/19,16:34:26,1047 Sycamore St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001250 - 000,3/23/19,16:44:28,1103 Barbara Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001251 - 000,3/23/19,18:43:20,401 Carlson Cir ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001252 - 000,3/23/19,20:05:06,333 S Reimer Ave ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001253 - 000,3/23/19,22:00:56,W Wonder World Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001255 - 000,3/24/19,2:35:17,1144 Sycamore St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001256 - 000,3/24/19,4:05:11,EXIT 202 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001259 - 000,3/24/19,4:41:57,604 Clyde Ct ,553 - Public service,Yes,Yes
0001260 - 000,3/24/19,5:47:48,1350 N LBJ Dr ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0001262 - 000,3/24/19,7:38:36,196 W Access ,322 - Vehicle accident with injuries,Yes,Yes
0001263 - 000,3/24/19,11:01:39,641 E Hopkins St  # Bldg 1 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001264 - 000,3/24/19,11:56:26,120 Bert Brown Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0001265 - 000,3/24/19,12:08:25,600 Wonder World Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0001266 - 000,3/24/19,14:43:51,204 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001268 - 000,3/24/19,18:52:16,EXIT 201 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0001269 - 000,3/24/19,18:54:35,201 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0001270 - 000,3/24/19,18:58:33,EXIT 208 NB ,554 - Assist invalid,Yes,Yes
0001271 - 000,3/24/19,20:24:48,343 N LBJ Dr ,511 - Lock-out,Yes,Yes
0001272 - 000,3/24/19,23:04:26,550 Barnes Dr ,622 - No incident found on arrival at dispatch address,Yes,Yes
0001273 - 000,3/24/19,23:08:05,1401 Wonder World Dr ,412 - Gas leak (natural gas or LPG),Yes,Yes
0001275 - 000,3/25/19,3:02:20,120 Bert Brown Rd ,735 - Alarm system sounded due to malfunction,Yes,Yes
0001276 - 000,3/25/19,9:03:55,708 Georgia St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0001277 - 000,3/25/19,12:01:18,1201 Thorpe Ln  # 182 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001278 - 000,3/25/19,12:52:59,1740 Old Ranch Road 12 ,"712 - Direct tie to FD, malicious/false alarm",Yes,Yes
0001279 - 000,3/25/19,13:37:16,1004 N IH 35 ,611 - Dispatched & cancelled en route,Yes,Yes
0001280 - 000,3/25/19,18:17:34,600 Wonder World Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0001281 - 000,3/25/19,19:25:45,417 N Comanche St  # 502 ,"651 - Smoke scare, odor of smoke",Yes,Yes
0001282 - 000,3/25/19,19:29:36,124 Sage Meadows Dr ,412 - Gas leak (natural gas or LPG),Yes,Yes
0001283 - 000,3/25/19,19:55:53,1201 Thorpe Ln  # 182 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001284 - 000,3/25/19,20:23:38,442 Stagecoach Trl ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001285 - 000,3/25/19,20:25:21,503 Uhland Rd  # 36 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001286 - 000,3/25/19,22:41:43,1308 N Bishop St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001287 - 000,3/26/19,0:13:25,EXIT 199 SB ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001288 - 000,3/26/19,0:23:40,811 S Guadalupe St  # 115 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001289 - 000,3/26/19,1:23:21,171 S LBJ Dr ,443 - Light ballast breakdown,Yes,Yes
0001291 - 000,3/26/19,12:25:17,712 S Stagecoach Trl ,611 - Dispatched & cancelled en route,Yes,Yes
0001292 - 000,3/26/19,13:35:09,1001 Crepe Myrtle Dr  # LIVING R ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001293 - 000,3/26/19,14:03:59,1015 Hwy 80 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001294 - 000,3/26/19,15:25:34,2600 Hunter Rd  # 3302 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001295 - 000,3/26/19,16:58:31,Wonder World Dr ,322 - Vehicle accident with injuries,Yes,Yes
0001296 - 000,3/26/19,18:35:06,3415 Hunter Rd  # 3 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001297 - 000,3/26/19,19:52:50,639 E Hopkins St ,622 - No incident found on arrival at dispatch address,Yes,Yes
0001298 - 000,3/26/19,20:42:29,214 Jackman St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0001299 - 000,3/26/19,20:47:38,W MLK Dr  # PARK ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001300 - 000,3/26/19,21:20:47,1111 Avalon Ave  # 2812 ,611 - Dispatched & cancelled en route,Yes,Yes
0001301 - 000,3/26/19,22:03:48,905 Hwy 80 ,721 - Bomb scare - no bomb,Yes,Yes
0001302 - 000,3/26/19,22:39:21,451 Barnes Dr  # 415 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001303 - 000,3/26/19,22:58:35,W Sessom Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0001304 - 000,3/26/19,23:43:02,1655 Mill St  # 813 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001306 - 000,3/26/19,23:55:36,204 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0001307 - 000,3/27/19,0:00:06,202 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001308 - 000,3/27/19,2:40:32,Cape Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0001309 - 000,3/27/19,5:33:23,1300 Wonder World Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0001310 - 000,3/27/19,6:45:12,1611 Clovis Barker Rd ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001311 - 000,3/27/19,10:24:33,3939 S IH 35  # 460 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0001312 - 000,3/27/19,11:19:28,1401 Davis Ln ,444 - Power line down,Yes,Yes
0001314 - 000,3/27/19,12:05:17,1001 E McCarty Ln ,733 - Smoke detector activation due to malfunction,Yes,Yes
0001315 - 000,3/27/19,12:32:06,1000 Cheatham St ,611 - Dispatched & cancelled en route,Yes,Yes
0001316 - 000,3/27/19,12:34:12,1520 S IH 35 ,322 - Vehicle accident with injuries,Yes,Yes
0001317 - 000,3/27/19,12:53:12,2951 Blanco Vista Blvd ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0001318 - 000,3/27/19,14:00:02,4002 S IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001319 - 000,3/27/19,14:06:23,410 Broadway St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001320 - 000,3/27/19,15:16:32,EXIT 204A SB ,553 - Public service,Yes,Yes
0001321 - 000,3/27/19,16:40:35,On S LBJ Dr  at Cheatham St ,322 - Vehicle accident with injuries,Yes,Yes
0001322 - 000,3/27/19,18:14:22,2027 Nevada St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001323 - 000,3/28/19,5:47:26,1600 N IH 35  # 311A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001324 - 000,3/28/19,6:35:03,900 Barnes Dr  # 213 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001325 - 000,3/28/19,9:58:49,1201 Thorpe Ln  # 182 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001326 - 000,3/28/19,11:48:37,1201 Thorpe Ln  # 182 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001327 - 000,3/28/19,12:22:38,300 S Stagecoach Trl  # 1234 ,554 - Assist invalid,Yes,Yes
0001328 - 000,3/28/19,12:57:55,700 N LBJ Dr  # PLOT ,611 - Dispatched & cancelled en route,Yes,Yes
0001329 - 000,3/28/19,13:59:16,105 Pickard St  # 328 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001330 - 000,3/28/19,14:05:48,155 Wonder World Dr  # PROCEDUR ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001331 - 000,3/28/19,14:25:58,Uhland Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0001332 - 000,3/28/19,14:57:26,1100 Earle St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001333 - 000,3/28/19,15:22:09,1105 Hwy 123 ,511 - Lock-out,Yes,Yes
0001334 - 000,3/28/19,15:27:56,301 N Guadalupe St  # 144 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001335 - 000,3/28/19,16:29:31,1001 E McCarty Ln ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0001336 - 000,3/28/19,16:51:08,1001 E McCarty Ln ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0001337 - 000,3/28/19,17:04:45,443 Lookout Ridge Lp ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001338 - 000,3/28/19,18:30:39,2131 N IH 35  # LOBBY ,611 - Dispatched & cancelled en route,Yes,Yes
0001339 - 000,3/28/19,19:08:37,1629 Post Rd  # 107 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001340 - 000,3/28/19,19:54:56,933 Hwy 80 ,611 - Dispatched & cancelled en route,Yes,Yes
0001341 - 000,3/28/19,21:24:20,217 E Hopkins St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001342 - 000,3/28/19,23:09:57,1001 E McCarty Ln ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0001343 - 000,3/28/19,23:57:48,300 S Stagecoach Trl  # 1234 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001344 - 000,3/29/19,0:23:01,120 E San Antonio St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001345 - 000,3/29/19,1:26:50,1200 Hwy 80 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001346 - 000,3/29/19,1:28:57,300 S Stagecoach Trl  # 1333 ,"700 - False alarm or false call, other",Yes,Yes
0001347 - 000,3/29/19,2:13:26,W Hutchison St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001348 - 000,3/29/19,3:50:59,1350 Sadler Dr  # 1301 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001349 - 000,3/29/19,3:54:14,650 River Rd  # 3206 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001351 - 000,3/29/19,8:07:19,402 Broadway St ,611 - Dispatched & cancelled en route,Yes,Yes
0001352 - 000,3/29/19,8:18:29,1351 Sadler Dr  # 409A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001353 - 000,3/29/19,8:29:53,300 S Stagecoach Trl  # 2205 ,611 - Dispatched & cancelled en route,Yes,Yes
0001354 - 000,3/29/19,13:09:56,515 Texas Ave ,"651 - Smoke scare, odor of smoke",Yes,Yes
0001355 - 000,3/29/19,14:11:15,201 Kissing Tree Ln ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001356 - 000,3/29/19,16:36:05,Aquarena Springs Dr ,322 - Vehicle accident with injuries,Yes,Yes
0001357 - 000,3/29/19,17:27:44,300 S Stagecoach Trl  # 2205 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001358 - 000,3/29/19,17:30:27,210 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001359 - 000,3/29/19,17:59:39,451 Barnes Dr  # PLOT ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001360 - 000,3/29/19,19:13:02,2117 River Rd ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001361 - 000,3/29/19,20:50:33,641 E Hopkins St  # Bldg 1 ,323 - Motor vehicle/pedestrian accident (MV Ped),Yes,Yes
0001362 - 000,3/29/19,21:32:48,Hunter Rd ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001363 - 000,3/29/19,23:09:58,1106 N IH 35 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001364 - 000,3/29/19,23:38:37,Thorpe Ln ,322 - Vehicle accident with injuries,Yes,Yes
0001365 - 000,3/30/19,1:17:00,210 E NB Rd ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001366 - 000,3/30/19,2:20:56,214 E San Antonio St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001368 - 000,3/30/19,4:27:20,201 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001370 - 000,3/30/19,9:22:37,1351 Sadler Dr  # 107A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001371 - 000,3/30/19,9:59:52,263 Rush Haven ,"331 - Lock-in (if lock out , use 511 )",Yes,Yes
0001372 - 000,3/30/19,10:36:46,900 Barnes Dr ,"746 - Carbon monoxide detector activation, no CO",Yes,Yes
0001373 - 000,3/30/19,11:50:54,527 Stampede Rd ,412 - Gas leak (natural gas or LPG),Yes,Yes
0001374 - 000,3/30/19,13:27:05,On Wonder World Dr  at Hunter Rd ,"151 - Outside rubbish, trash or waste fire",Yes,Yes
0001375 - 000,3/30/19,14:14:12,900 Barnes Dr ,"744 - Detector activation, no fire - unintentional",Yes,Yes
0001376 - 000,3/30/19,14:26:44,1109 Cimarron Ct ,554 - Assist invalid,Yes,Yes
0001377 - 000,3/30/19,14:34:03,221 E Sessom Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001378 - 000,3/30/19,14:51:22,900 Barnes Dr ,412 - Gas leak (natural gas or LPG),Yes,Yes
0001379 - 000,3/30/19,15:37:20,1401 E McCarty Ln  # 22 SOUTH ,611 - Dispatched & cancelled en route,Yes,Yes
0001380 - 000,3/30/19,17:52:51,126 S Guadalupe St ,444 - Power line down,Yes,Yes
0001381 - 000,3/30/19,18:02:26,1004 Hwy 123 ,611 - Dispatched & cancelled en route,Yes,Yes
0001382 - 000,3/30/19,18:10:41,208 NB ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001383 - 000,3/30/19,18:46:14,139 Segovia Rd ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001384 - 000,3/30/19,19:16:44,1635 Aquarena Springs Dr  # 107 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001385 - 000,3/30/19,21:37:39,1508 Clyde St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001386 - 000,3/30/19,22:26:13,1640 Aquarena Springs Dr  # 701 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001388 - 000,3/31/19,0:36:11,200 N LBJ Dr  # 103 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0001389 - 000,3/31/19,0:40:05,101 Russell Cir  # 2ND FLOO ,111R - Building fire - Residential,Yes,Yes
0001390 - 000,3/31/19,11:45:14,900 Barnes Dr ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0001392 - 000,3/31/19,15:32:50,1015 Hwy 80  # PHARM ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0001393 - 000,3/31/19,16:10:23,3939 S IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001395 - 000,3/31/19,17:43:13,205 E Access Rd ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001396 - 000,3/31/19,19:59:42,1110 Barbara Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001397 - 000,3/31/19,20:56:04,200 NB ,551 - Assist police or other governmental agency,Yes,Yes
0001398 - 000,3/31/19,21:22:26,115 E Hillcrest Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001399 - 000,4/1/19,0:19:07,2211 S IH 35 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0001400 - 000,4/1/19,1:02:15,500 Parker Dr  # 3017 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001401 - 000,4/1/19,2:15:31,1948 Gibraltar Dr ,"320 - Emergency medical service, other",Yes,Yes
0001402 - 000,4/1/19,2:32:50,202 SB ,551 - Assist police or other governmental agency,Yes,Yes
0001403 - 000,4/1/19,2:38:00,1600 N IH 35  # ROOM110B ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001404 - 000,4/1/19,2:57:25,500 Parker Dr  # 3017 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001405 - 000,4/1/19,3:34:23,1401 Wonder World Dr  # 310 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001406 - 000,4/1/19,4:30:11,4323 Trail Ridge Pass ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0001407 - 000,4/1/19,5:43:03,800 N LBJ Dr  # 1213 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0001408 - 000,4/1/19,9:27:36,400 Linda Dr  # PLOT ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001409 - 000,4/1/19,10:42:19,1829 Pearce Ct ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001410 - 000,4/1/19,11:36:28,1113 N IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001411 - 000,4/1/19,11:48:08,EXIT 213 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0001412 - 000,4/1/19,13:16:00,EXIT 206 SB ,322 - Vehicle accident with injuries,Yes,Yes
0001413 - 000,4/1/19,13:28:57,301 Foxtail Run ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001414 - 000,4/1/19,13:39:27,Travis St ,412 - Gas leak (natural gas or LPG),Yes,Yes
0001415 - 000,4/1/19,17:02:44,701 S LBJ Dr  # 309 ,511 - Lock-out,Yes,Yes
0001416 - 000,4/1/19,17:18:39,208 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001417 - 000,4/1/19,18:02:27,401 N Fredericksburg St ,735 - Alarm system sounded due to malfunction,Yes,Yes
0001418 - 000,4/1/19,18:20:12,2211 S IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001420 - 000,4/1/19,21:14:00,W Hopkins St ,622 - No incident found on arrival at dispatch address,Yes,Yes
0001421 - 000,4/1/19,21:36:59,1241 N LBJ Dr  # A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001422 - 000,4/1/19,22:11:14,Charles Austin Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0001423 - 000,4/1/19,23:07:30,1900 N IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001425 - 000,4/2/19,7:15:11,801 River Rd  # 270 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001426 - 000,4/2/19,7:46:06,1975 Aquarena Springs Dr  # BLDG 4,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0001427 - 000,4/2/19,8:44:29,1610 N IH 35  # 623 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001428 - 000,4/2/19,10:28:36,2601 Rattler Rd ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001429 - 000,4/2/19,11:02:51,700 Aquarena Springs Dr  # A205 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001430 - 000,4/2/19,11:47:36,1401 Brown St ,611 - Dispatched & cancelled en route,Yes,Yes
0001431 - 000,4/2/19,12:21:06,300 S Stagecoach Trl  # 2308 ,"113 - Cooking fire, confined to container",Yes,Yes
0001432 - 000,4/2/19,13:29:23,1012 Hwy 123  # PLOT ,322 - Vehicle accident with injuries,Yes,Yes
0001433 - 000,4/2/19,13:36:29,1720 Old Ranch Road 12  # BEAUT ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001434 - 000,4/2/19,14:15:12,641 E Hopkins St  # Bldg 1 ,622 - No incident found on arrival at dispatch address,Yes,Yes
0001435 - 000,4/2/19,14:29:57,706 Barbara Dr ,162 - Outside equipment fire,Yes,Yes
0001436 - 000,4/2/19,14:32:22,On Stagecoach Trl  at Hunter Rd ,322 - Vehicle accident with injuries,Yes,Yes
0001437 - 000,4/2/19,19:11:22,1401 Wonder World Dr  # APT 30 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001439 - 000,4/2/19,20:12:44,On Aquarena Springs Dr  at W Acce ss Rd,322 - Vehicle accident with injuries,Yes,Yes
0001440 - 000,4/2/19,21:44:55,1000 N LBJ Dr  # F3 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001441 - 000,4/2/19,22:50:17,130 W Holland St ,"600 - Good intent call, other",Yes,Yes
0001442 - 000,4/2/19,23:06:52,310 N IH 35 ,322 - Vehicle accident with injuries,Yes,Yes
0001443 - 000,4/3/19,1:21:19,1800 Post Rd  # PLOT ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001445 - 000,4/3/19,7:14:22,305 Brazoria Trl ,611 - Dispatched & cancelled en route,Yes,Yes
0001446 - 000,4/3/19,7:24:39,118 N Bishop St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001447 - 000,4/3/19,8:00:52,Aquarena Springs Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0001448 - 000,4/3/19,8:10:32,Mill St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001449 - 000,4/3/19,8:42:27,1401 E McCarty Ln ,611 - Dispatched & cancelled en route,Yes,Yes
0001450 - 000,4/3/19,9:17:27,333 Stagecoach Trl ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001451 - 000,4/3/19,10:01:02,120 Bert Brown Rd ,"710 - Malicious, mischievous false call, other",Yes,Yes
0001452 - 000,4/3/19,11:17:59,316 W Hopkins St ,611 - Dispatched & cancelled en route,Yes,Yes
0001453 - 000,4/3/19,11:27:51,412 Flying Orchid Dr ,412 - Gas leak (natural gas or LPG),Yes,Yes
0001454 - 000,4/3/19,11:49:46,312 Sherbarb St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001455 - 000,4/3/19,13:09:12,2001 Old Ranch Road 12 ,"115 - Incinerator overload or malfunction, fire confined",Yes,Yes
0001456 - 000,4/3/19,13:36:04,North St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0001458 - 000,4/3/19,15:03:48,2600 Hunter Rd  # COFFEE ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001459 - 000,4/3/19,16:13:48,1800 N Post Rd ,"651 - Smoke scare, odor of smoke",Yes,Yes
0001460 - 000,4/3/19,17:20:23,1351 Sadler Dr  # 213A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001461 - 000,4/3/19,19:12:58,Valley St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0001462 - 000,4/3/19,20:32:12,205 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001463 - 000,4/3/19,21:41:16,1975 Aquarena Springs Dr  # BLDG 12,"700 - False alarm or false call, other",Yes,Yes
0001464 - 000,4/3/19,22:47:42,323 N Comanche St ,"445 - Arcing, shorted electrical equipment",Yes,Yes
0001465 - 000,4/3/19,23:08:45,2769 N IH 35 ,322 - Vehicle accident with injuries,Yes,Yes
0001467 - 000,4/3/19,23:49:18,1004 N IH 35 ,622 - No incident found on arrival at dispatch address,Yes,Yes
0001468 - 000,4/4/19,1:08:12,2600 Hunter Rd  # 3302 ,"700 - False alarm or false call, other",Yes,Yes
0001469 - 000,4/4/19,1:48:00,201 Wisteria Way ,554 - Assist invalid,Yes,Yes
0001470 - 000,4/4/19,2:17:10,127 E Hopkins St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001471 - 000,4/4/19,2:42:52,Craddock Ave ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001472 - 000,4/4/19,2:55:00,100 W Hopkins St ,735 - Alarm system sounded due to malfunction,Yes,Yes
0001473 - 000,4/4/19,5:57:24,314 E Hutchison St  # B ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0001475 - 000,4/4/19,7:10:31,W Access Rd ,551 - Assist police or other governmental agency,Yes,Yes
0001476 - 000,4/4/19,8:22:49,1519 W Hopkins St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001478 - 000,4/4/19,10:51:35,4200 S IH 35 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0001479 - 000,4/4/19,13:36:16,206 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001480 - 000,4/4/19,14:08:39,712 S Stagecoach Trl ,353 - Removal of victim(s) from stalled elevator,Yes,Yes
0001481 - 000,4/4/19,14:14:03,2600 Hunter Rd  # 1108 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001482 - 000,4/4/19,15:36:31,500 E McCarty Ln ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001483 - 000,4/4/19,15:45:45,Hwy 80 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001484 - 000,4/4/19,15:58:23,300 S Stagecoach Trl  # 1210 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001485 - 000,4/4/19,16:10:22,2440 S IH 35 ,131 - Passenger vehicle fire,Yes,Yes
0001486 - 000,4/4/19,16:28:55,1050 McKinley Place Dr  # 220 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0001487 - 000,4/4/19,17:26:26,201 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001488 - 000,4/4/19,19:44:08,1921 Old Ranch Road 12 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001489 - 000,4/4/19,21:20:20,E Hopkins St ,323 - Motor vehicle/pedestrian accident (MV Ped),Yes,Yes
0001492 - 000,4/5/19,0:46:16,S Guadalupe St ,324 - Motor vehicle accident with no injuries,Yes,Yes
0001493 - 000,4/5/19,1:08:09,1115 N LBJ Dr  # A4 ,553 - Public service,Yes,Yes
0001494 - 000,4/5/19,1:50:29,120 Bert Brown Rd ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0001495 - 000,4/5/19,3:31:12,650 River Rd  # 15105 ,611 - Dispatched & cancelled en route,Yes,Yes
