"","Incident_Nr","TimeReported","Activity","Disposition","Officer","Location"
"1127",200000002766,"1/14/2020  2:20:31 PM","Investigation","Detention Juv","Wooten, Christopher","301 Foxtail Run"
"1128",200000002767,"1/14/2020  2:23:54 PM","Investigation","No Report","Dehkordi, John","2250 Clovis Barker Rd"
"1129",200000002768,"1/14/2020  2:28:01 PM","Mental Health Invest","Report","Sheridan, Grant","1301 Wonder World Dr"
"1130",200000002769,"1/14/2020  2:28:46 PM","Alarm - Vehicle","No Report","Castillo, Daniel","1701 Mill St"
"1131",200000002770,"1/14/2020  2:28:49 PM","Narcotics/Information","Arrest","Castillo, DJ","2601 Rattler Rd"
"1132",200000002771,"1/14/2020  2:30:57 PM","Wanted Person","Arrest","Taylor, Michael","2300 S IH 35"
"1133",200000002773,"1/14/2020  3:00:45 PM","Trespassing/Unwanted","No Report","Taylor, Michael","235 N LBJ Dr"
"1134",200000002774,"1/14/2020  3:03:46 PM","Accident - Minor","Blue Form Issue","McGee, Miranda","Aquarena Springs Dr/Thorpe Ln"
"1135",200000002775,"1/14/2020  3:05:56 PM","Accident - Major/Injury","Report","Dehkordi, John","1300blk Wonder World Dr"
"1136",200000002776,"1/14/2020  3:06:07 PM","Accident - Major/Injury","Ignore","","1300BLK Wonder World Dr"
"1137",200000002781,"1/14/2020  3:21:37 PM","Wanted Person","Arrest","Taylor, Michael","1015 Hwy 80"
"1138",200000002790,"1/14/2020  4:10:57 PM","Suspicious Vehicle","No Report","Crook, Daniel","2300 S IH 35"
"1139",200000002791,"1/14/2020  4:12:58 PM","Supplement","No Report","Dehkordi, John","1601 N IH 35"
"1140",200000002792,"1/14/2020  4:29:49 PM","Attempt to Locate","No Report","","Wonder World Dr/W Access Rd"
"1141",200000002795,"1/14/2020  4:59:20 PM","Supplement","No Report","Morenz, Darby","3939 S IH 35"
"1142",200000002797,"1/14/2020  5:02:55 PM","Welfare Concern","No Report","Tureaud, Benjamin","921 Hwy 80"
"1143",200000002798,"1/14/2020  5:12:42 PM","Accident - Major/Injury","Report","Anderson, Dillan","205 E Access Rd"
"1144",200000002807,"1/14/2020  5:49:07 PM","Welfare Concern","No Report","Morenz, Darby","608 McKie St"
"1145",200000002808,"1/14/2020  5:49:45 PM","Child Custody","No Report","","2300 S IH 35"
"1146",200000002812,"1/14/2020  5:52:05 PM","Welfare Concern","Ignore","","627 McKie St"
"1147",200000002814,"1/14/2020  5:54:23 PM","Attempt to Locate","No Report","Lowrie, Hollie","804 Chestnut St"
"1148",200000002817,"1/14/2020  6:03:41 PM","Caller In Imminent Danger","Report","Lowrie, Hollie","1800 Post Rd"
"1149",200000002818,"1/14/2020  6:04:24 PM","Harassment","No Report","Anderson, Dillan","130 Jackson Ln"
"1150",200000002819,"1/14/2020  6:14:16 PM","Welfare Concern","No Report","Daenzer, Matthew","E Hopkins St/N LBJ Dr"
"1151",200000002821,"1/14/2020  6:19:42 PM","Public Assist","No Report","Osborne, Joseph","417 S Mitchell Ave"
"1152",200000002824,"1/14/2020  6:32:57 PM","Disturbance - Verbal","No Report","","1625 Hunter Rd"
"1153",200000002825,"1/14/2020  6:33:10 PM","Welfare Concern","Arrest","Osborne, Joseph","102 Wonder World Dr"
"1154",200000002826,"1/14/2020  6:44:03 PM","Attempt to Locate","No Report","","207 SB"
"1155",200000002827,"1/14/2020  6:46:40 PM","Suspicious Person","No Report","Tureaud, Benjamin","1111 N LBJ Dr"
"1156",200000002828,"1/14/2020  6:48:20 PM","Trespassing/Unwanted","No Report","Tureaud, Benjamin","304 Oakdale Dr"
"1157",200000002829,"1/14/2020  6:54:32 PM","Investigation","No Report","Anderson, Dillan","2211 S IH 35"
"1158",200000002830,"1/14/2020  7:10:07 PM","Public Assist","No Report","Anderson, Dillan","1301 Wonder World Dr"
"1159",200000002831,"1/14/2020  7:18:11 PM","Public Assist","No Report","Lowrie, Hollie","914 N LBJ Dr"
"1160",200000002836,"1/14/2020  7:58:21 PM","Mental Health Invest","Report","Anderson, Dillan","1301 Wonder World Dr"
"1161",200000002837,"1/14/2020  8:00:03 PM","Disturbance - Verbal","No Report","Bennett, Caitlyn","292 South Fork Rd"
"1162",200000002838,"1/14/2020  8:21:09 PM","Disturbance - Verbal","No Report","","1354 Thorpe Ln"
"1163",200000002842,"1/14/2020  8:48:12 PM","Welfare Concern","No Report","Royal, GeCorrie","Rogers/Scotts"
"1164",200000002843,"1/14/2020  8:48:59 PM","Attempt to Locate","Unfounded","Morenz, Darby","208 SB"
"1165",200000002845,"1/14/2020  8:52:41 PM","Investigation","No Report","Lowrie, Hollie","2300 S IH 35"
"1166",200000002849,"1/14/2020  8:57:54 PM","Accident - Hit and Run","Blue Form Issue","Royal, GeCorrie","EXIT 200 SB"
"1167",200000002850,"1/14/2020  8:58:02 PM","Suspicious Circumstances","No Report","Tureaud, Benjamin","601 River Rd"
"1168",200000002855,"1/14/2020  9:12:51 PM","Disturbance - Verbal","Arrest","Murphy, Logan","1019 Gravel St"
"1169",200000002856,"1/14/2020  9:23:10 PM","Mental Health Invest","No Report","Mendoza, Celedonio","200blk Trestle Tree"
"1170",200000002860,"1/14/2020  9:48:33 PM","Wanted Person","Arrest","Murphy, Logan","124 Olive St"
"1171",200000002872,"1/14/2020  10:49:21 PM","Assault","Report","Mendoza, Celedonio","1800 Post Rd"
"1172",200000002878,"1/14/2020  11:13:41 PM","Assault","Report","Anderson, Dillan","191 Valero Dr"
"1173",200000002879,"1/14/2020  11:20:42 PM","Suspicious Circumstances","No Report","Bennett, Caitlyn","1606 N IH 35"
"1174",200000002880,"1/14/2020  11:30:15 PM","Suspicious Person","No Report","Crook, Daniel","Craddock Ave/Hamilton Ave"
"1175",200000002881,"1/14/2020  11:41:33 PM","Viol City Ordinance","Verbal Warning","Morenz, Darby","212 N LBJ Dr"
"1176",200000002885,"1/14/2020  11:53:48 PM","Flagged Down","No Report","Morenz, Darby","N Guadalupe St/E Hopkins St"
"1177",200000002899,"1/15/2020  12:37:33 AM","Foot Patrol","No Report","Gonzales, Gavin","350 North St"
"1178",200000002903,"1/15/2020  12:51:42 AM","Investigation","No Report","Verver, Elias","2300 S IH 35"
"1179",200000002904,"1/15/2020  12:53:16 AM","Trespassing/Unwanted","No Report","Royal, GeCorrie","2005 Ramona Cir"
"1180",200000002906,"1/15/2020  12:59:48 AM","Suicidal Person","No Report","Gonzales, Gavin","400blk Moore St"
"1181",200000002907,"1/15/2020  1:09:12 AM","Welfare Concern","No Report","Bennett, Caitlyn","1636 Aquarena Springs Dr"
"1182",200000002908,"1/15/2020  1:31:23 AM","Suspicious Vehicle","No Report","Tureaud, Benjamin","913 Hwy 80"
"1183",200000002909,"1/15/2020  1:32:43 AM","Investigation","No Report","Morenz, Darby","N Guadalupe St/E Hopkins St"
"1184",200000002911,"1/15/2020  1:37:13 AM","Suspicious Vehicle","No Report","Hartman, Ryan","750 River Rd"
"1185",200000002912,"1/15/2020  1:42:17 AM","Investigation","No Report","Morenz, Darby","E Hopkins St/N LBJ Dr"
"1186",200000002914,"1/15/2020  1:47:44 AM","Viol City Ordinance","Citation Issued","Bennett, Caitlyn","University Dr/N Edward Gary St"
"1187",200000002916,"1/15/2020  1:47:51 AM","Viol City Ordinance","No Report","Hartman, Ryan","1000 N IH 35"
"1188",200000002917,"1/15/2020  1:59:01 AM","Flagged Down","No Report","Morenz, Darby","E Hopkins St/N LBJ Dr"
"1189",200000002918,"1/15/2020  2:05:37 AM","Accident - Unknown","Citation Issued","Murphy, Logan","205 SB"
"1190",200000002919,"1/15/2020  2:07:45 AM","Investigation","No Report","Tureaud, Benjamin","121 W San Antonio St"
"1191",200000002920,"1/15/2020  2:10:49 AM","Pedestrian Stop","Arrest","Hartman, Ryan","100 W Hopkins St"
"1192",200000002921,"1/15/2020  2:19:27 AM","Public Assist","No Report","Morenz, Darby","N Guadalupe St/E Hopkins St"
"1193",200000002922,"1/15/2020  2:21:54 AM","Disturbance - Phys/Fight","Arrest","Morenz, Darby","100blk E San Antonio St"
"1194",200000002924,"1/15/2020  2:37:40 AM","Discharged Firearm","No Report","Royal, GeCorrie","1701 Mill St"
"1195",200000002925,"1/15/2020  2:44:54 AM","Disturbance - Verbal","Multiple Arrest","Anderson, Dillan","1004 Hwy 123"
"1196",200000002926,"1/15/2020  3:00:02 AM","Welfare Concern","No Report","Alvarado, Manuel","1004 Hwy 123"
"1197",200000002927,"1/15/2020  3:01:56 AM","Suspicious Person","No Report","Bennett, Caitlyn","625 Uhland Rd"
"1198",200000002928,"1/15/2020  3:14:10 AM","Suspicious Vehicle","Arrest","Alvarado, Manuel","601 S C M Allen Pkwy"
"1199",200000002929,"1/15/2020  3:17:41 AM","Disturbance - Phys/Fight","Unfounded","Murphy, Logan","130 Jackson Ln"
"1200",200000002932,"1/15/2020  4:54:23 AM","Suspicious Circumstances","No Report","Alvarado, Manuel","250 S Stagecoach Trl"
"1201",200000002937,"1/15/2020  5:55:59 AM","Public Assist","No Report","Royal, GeCorrie","2300 S IH 35"
"1202",200000002938,"1/15/2020  6:01:21 AM","Welfare Concern","No Contact","Dehkordi, John","E Hopkins St/W Access Rd"
"1203",200000002946,"1/15/2020  7:19:02 AM","Directed/Area Enforcement","No Report","Charleswell, Eric","1300 Girard Ave"
"1204",200000002948,"1/15/2020  7:23:39 AM","Suspicious Person","No Report","Charleswell, Eric","300blk W San Antonio St"
"1205",200000002949,"1/15/2020  7:31:23 AM","Attempt to Locate","No Report","","1100blk Hwy 80"
"1206",200000002951,"1/15/2020  7:33:14 AM","Directed/Area Enforcement","No Report","Fischer, Vincent","1401 Davis Ln"
"1207",200000002953,"1/15/2020  7:47:40 AM","Investigation","No Report","Charleswell, Eric","619 Maury St"
"1208",200000002954,"1/15/2020  7:50:44 AM","Information","No Report","","N LBJ Dr/Concho St"
"1209",200000002956,"1/15/2020  8:01:01 AM","Directed/Area Enforcement","No Report","Royston, Daniel","700blk W Hopkins St"
"1210",200000002962,"1/15/2020  8:23:33 AM","Assault","No Report","Wooten, Christopher","301 Foxtail Run"
"1211",200000002963,"1/15/2020  8:31:29 AM","Directed/Area Enforcement","No Report","Royston, Daniel",""
"1212",200000002966,"1/15/2020  8:52:15 AM","Welfare Concern","No Report","Wooten, Christopher","2913 Hunter Rd"
"1213",200000002967,"1/15/2020  8:57:09 AM","Violation Of Order","Report","Davidson, Travis","1307 Uhland Rd"
"1214",200000002970,"1/15/2020  9:37:41 AM","Trespassing/Unwanted","No Report","Williams, Jack","1105 N IH 35"
"1215",200000002977,"1/15/2020  10:44:00 AM","Suspicious Person","No Report","Allen, Ashley","100 E San Antonio St"
"1216",200000002978,"1/15/2020  10:44:27 AM","Assist Outside Agency","No Report","Allen, Ashley","1204 Thorpe Ln"
"1217",200000002982,"1/15/2020  11:17:42 AM","Investigation","No Report","Collier, Greg","209 N IH 35"
"1218",200000002984,"1/15/2020  11:23:42 AM","Property - Lost/Found/Imp","No Report","Allen, Ashley","315 Reynolds St"
"1219",200000002987,"1/15/2020  11:42:40 AM","Threat","No Report","Williams, Jack","201 Second St"
"1220",200000002991,"1/15/2020  12:02:13 PM","Directed/Area Enforcement","No Report","Dehkordi, John","700 W Hopkins St"
"1221",200000002992,"1/15/2020  12:05:46 PM","Suicidal Person","Report","Marroquin, Christopher","500blk Patton St"
"1222",200000002993,"1/15/2020  12:05:47 PM","Disturbance - Verbal","No Report","Dehkordi, John","1207 McAllister St"
"1223",200000002996,"1/15/2020  12:18:49 PM","Fraud","Report","Fischer, Vincent","701 S LBJ Dr"
"1224",200000002997,"1/15/2020  12:30:11 PM","Public Assist","No Report","Charleswell, Eric","211 W Grove St"
"1225",200000002999,"1/15/2020  12:46:44 PM","Animal Call","Ref Oth Agncy","","1050 McKinley Place Dr"
"1226",200000003005,"1/15/2020  1:19:51 PM","Theft","Arrest","Dehkordi, John","1050 McKinley Place Dr"
"1227",200000003013,"1/15/2020  2:15:51 PM","Accident - Minor","Report","Dehkordi, John","E Hopkins St/W Access Rd"
"1228",200000003014,"1/15/2020  2:16:49 PM","Directed/Area Enforcement","No Report","Charleswell, Eric","500 E Hopkins St"
"1229",200000003017,"1/15/2020  2:24:51 PM","Public Assist","No Report","Fischer, Vincent","937 Hwy 80"
"1230",200000003020,"1/15/2020  2:27:51 PM","Threat","No Report","Charleswell, Eric","250 S Stagecoach Trl"
"1231",200000003021,"1/15/2020  2:35:15 PM","Disturbance - Verbal","No Report","Williams, Jack","1525 Aquarena Springs Dr"
"1232",200000003022,"1/15/2020  2:38:28 PM","Sexual Assault","Report","Dehkordi, John","2300 S IH 35"
"1233",200000003023,"1/15/2020  2:47:42 PM","Investigation","No Report","Collier, Greg","1053 Hwy 123"
"1234",200000003027,"1/15/2020  3:15:08 PM","Civil Matter","No Report","Charleswell, Eric","425 E McCarty Ln"
"1235",200000003028,"1/15/2020  3:15:38 PM","Attempt to Locate","No Report","Crook, Daniel","210 SB"
"1236",200000003030,"1/15/2020  3:24:29 PM","Sexual Assault","Report","Dehkordi, John","2300 S IH 35"
"1237",200000003031,"1/15/2020  3:31:51 PM","Attempt to Locate","No Report","","202 E Access Rd"
"1238",200000003034,"1/15/2020  3:56:49 PM","Accident - Major/Injury","Report","Dehkordi, John","201 SB"
"1239",200000003035,"1/15/2020  4:04:54 PM","Accident - Minor","No Report","Contreras, Ysidro","1015 Hwy 80"
"1240",200000003038,"1/15/2020  4:15:55 PM","Suspicious Person","No Report","Putnam, Justin","1302 W Hopkins St"
"1241",200000003039,"1/15/2020  4:20:04 PM","Investigation","No Report","Marroquin, Christopher","510 Barnes Dr"
"1242",200000003040,"1/15/2020  4:22:10 PM","Information","No Report","","1351 Sadler Dr"
"1243",200000003042,"1/15/2020  4:31:31 PM","Fraud","No Report","Tureaud, Benjamin","2300 S IH 35"
"1244",200000003043,"1/15/2020  4:34:39 PM","Accident - Minor","Report","Tennant, Casey","198 SB"
"1245",200000003048,"1/15/2020  5:03:13 PM","Supplement","No Report","Contreras, Ysidro","200 W Hopkins St"
"1246",200000003051,"1/15/2020  5:23:56 PM","Viol City Ordinance","Verbal Warning","Tennant, Casey","E Access Rd/Hwy 80"
"1247",200000003053,"1/15/2020  5:31:28 PM","Fraud","Ref Oth Agncy","","2300 S IH 35"
"1248",200000003054,"1/15/2020  5:34:14 PM","Child Custody","No Report","Putnam, Justin","1021 Sagewood Trl"
"1249",200000003056,"1/15/2020  5:37:21 PM","Domestic Dist General","No Report","Tureaud, Benjamin","2300 S IH 35"
"1250",200000003060,"1/15/2020  6:01:16 PM","Child Custody","No Report","Contreras, Ysidro","1015 Hwy 80"
"1251",200000003061,"1/15/2020  6:03:35 PM","Theft","Citation Issued","Tureaud, Benjamin","550 Barnes Dr"
"1252",200000003063,"1/15/2020  6:07:11 PM","Harassment","Refer To COPR","","333 Newberry Trl"
"1253",200000003064,"1/15/2020  6:09:05 PM","Trespassing/Unwanted","No Report","","217 W Hopkins St"
"1254",200000003065,"1/15/2020  6:15:40 PM","Information","No Report","","2300 S IH 35"
"1255",200000003067,"1/15/2020  6:22:36 PM","Disturbance - Phys/Fight","No Report","Anderson, Dillan","518 S Guadalupe St"
"1256",200000003069,"1/15/2020  6:27:08 PM","Missing Person","Report","Tureaud, Benjamin","1015 Hwy 80"
"1257",200000003071,"1/15/2020  6:35:23 PM","Attempt to Locate","Ref Oth Agncy","","204 SB"
"1258",200000003078,"1/15/2020  7:17:44 PM","Suspicious Vehicle","No Report","Tennant, Casey","211 Roosevelt St"
"1259",200000003080,"1/15/2020  7:27:22 PM","Animal Call","No Report","","209 NB"
"1260",200000003082,"1/15/2020  7:31:42 PM","Assault","No Report","Anderson, Dillan","1333 Chestnut St"
"1261",200000003087,"1/15/2020  7:43:43 PM","Attempt to Locate","No Report","Mueller, Justin","201 NB"
"1262",200000003091,"1/15/2020  8:12:35 PM","Suspicious Vehicle","No Contact","Greenwood, Amy","4440 S Old Stagecoach Rd"
"1263",200000003099,"1/15/2020  9:11:58 PM","Trespassing/Unwanted","Warning","Williamson, Jamie","934 N IH 35"
"1264",200000003100,"1/15/2020  9:15:31 PM","Investigation","Ref Oth Agncy","Foster, Norman","1301 Wonder World Dr"
"1265",200000003102,"1/15/2020  9:20:07 PM","Disturbance - Verbal","No Report","Anderson, Dillan","605 W Hutchison St"
"1266",200000003103,"1/15/2020  9:26:50 PM","Attempt to Locate","No Report","Mendoza, Celedonio","198 NB"
"1267",200000003106,"1/15/2020  9:36:40 PM","Assist Outside Agency","No Report","Williamson, Jamie","Yarrington Rd/W Access Rd"
"1268",200000003112,"1/15/2020  9:48:46 PM","Trespassing/Unwanted","Cancelled","Greenwood, Amy","1105 N IH 35"
"1269",200000003113,"1/15/2020  9:55:49 PM","Harassment","No Report","Mendoza, Celedonio","2300 S IH 35"
"1270",200000003118,"1/15/2020  10:07:05 PM","Suspicious Person","No Report","Greenwood, Amy","1354 Thorpe Ln"
"1271",200000003120,"1/15/2020  10:38:00 PM","Burglary - Habitation","Report","Putnam, Justin","1238 W MLK Dr"
"1272",200000003124,"1/15/2020  10:47:27 PM","Suspicious Person","Arrest","Foster, Norman","900 N IH 35"
"1273",200000003125,"1/15/2020  10:54:37 PM","Disturbance - Noise","Verbal Warning","Tureaud, Benjamin","765 River Rd"
"1274",200000003127,"1/15/2020  11:04:06 PM","Disturbance - Phys/Fight","Report","Greenwood, Amy","142 Windmill Dr"
"1275",200000003129,"1/15/2020  11:23:41 PM","Disturbance - Noise","Verbal Warning","Tureaud, Benjamin","526 Burleson St"
"1276",200000003133,"1/16/2020  12:09:54 AM","Public Assist","Cancelled","Verver, Elias","2300 S IH 35"
"1277",200000003138,"1/16/2020  1:05:45 AM","Supplement","No Report","Tureaud, Benjamin","1004 Hwy 123"
"1278",200000003140,"1/16/2020  1:11:57 AM","Criminal Mischief","No Report","Anderson, Dillan","1321 N IH 35"
"1279",200000003141,"1/16/2020  1:22:31 AM","Vehicle Theft","Report","Mueller, Justin","3936 S IH 35"
"1280",200000003143,"1/16/2020  1:44:07 AM","Disturbance - Phys/Fight","Report","Greenwood, Amy","120 E San Antonio St"
"1281",200000003144,"1/16/2020  2:18:14 AM","Flagged Down","No Report","Anderson, Dillan","120 E San Antonio St"
"1282",200000003145,"1/16/2020  2:28:43 AM","Disturbance - Phys/Fight","Arrest","Greenwood, Amy","100 W Hopkins St"
"1283",200000003146,"1/16/2020  2:30:03 AM","Disturbance - Verbal","No Report","Foster, Norman","650 River Rd"
"1284",200000003149,"1/16/2020  2:55:33 AM","Information","No Report","","2300 S IH 35"
"1285",200000003155,"1/16/2020  3:50:57 AM","Suspicious Vehicle","No Report","Foster, Norman","1350 Leah Ave"
"1286",200000003157,"1/16/2020  3:57:29 AM","Suspicious Vehicle","Arrest","Greenwood, Amy","231 N Guadalupe St"
"1287",200000003159,"1/16/2020  4:11:17 AM","Suspicious Vehicle","No Report","Williamson, Jamie","1002 Hwy 80"
"1288",200000003167,"1/16/2020  6:41:26 AM","Attempt to Locate","Unfounded","","208 SB"
"1289",200000003169,"1/16/2020  7:21:31 AM","Disturbance - Phys/Fight","No Contact","Marroquin, Christopher","909 Hwy 80"
"1290",200000003170,"1/16/2020  7:30:45 AM","Directed/Area Enforcement","No Report","Charleswell, Eric","1300   Girard Ave"
"1291",200000003174,"1/16/2020  7:39:01 AM","Directed/Area Enforcement","No Report","Marroquin, Christopher","4100 Monterrey Oak"
"1292",200000003175,"1/16/2020  7:40:38 AM","Directed/Area Enforcement","No Report","Dehkordi, John","333 Stagecoach Trl"
"1293",200000003180,"1/16/2020  7:56:04 AM","Directed/Area Enforcement","No Report","Dehkordi, John","700 W Hopkins St"
"1294",200000003181,"1/16/2020  7:56:56 AM","Directed/Area Enforcement","No Report","Fischer, Vincent","1301   Hwy 123"
"1295",200000003182,"1/16/2020  7:58:52 AM","Welfare Concern","Ref Oth Agncy","Williams, Jack","E Access Rd/Yarrington Rd"
"1296",200000003184,"1/16/2020  8:02:40 AM","Suspicious Circumstances","No Report","Dehkordi, John","1207 McAllister St"
"1297",200000003185,"1/16/2020  8:13:59 AM","Disturbance - Phys/Fight","No Report","Duggins, Delton","2601 Rattler Rd"
"1298",200000003187,"1/16/2020  8:30:56 AM","Assault","No Report","Wooten, Christopher","2601 Rattler Rd"
"1299",200000003190,"1/16/2020  8:42:13 AM","Assault","No Report","","2601 Rattler Rd"
"1300",200000003198,"1/16/2020  9:33:17 AM","Supplement","No Report","Dehkordi, John","2300 S IH 35"
"1301",200000003203,"1/16/2020  9:57:04 AM","Welfare Concern","No Report","Marroquin, Christopher","601 River Rd"
"1302",200000003206,"1/16/2020  10:21:16 AM","Fraud","Report","Williams, Jack","822 Silo St"
"1303",200000003208,"1/16/2020  10:38:16 AM","Directed/Area Enforcement","No Report","Charleswell, Eric","500 W Hopkins St"
"1304",200000003209,"1/16/2020  10:40:42 AM","SWAT/CNT","No Report","Gieselman, Benjamin","400 US Hwy 281"
"1305",200000003214,"1/16/2020  10:56:55 AM","Accident - Unknown","Blue Form Issue","Charleswell, Eric","204 E Access Rd"
"1306",200000003222,"1/16/2020  12:29:38 PM","Vehicle Theft","No Report","Williams, Jack","237 Horse Shoe Bend Rd"
"1307",200000003224,"1/16/2020  12:51:12 PM","Assault","Detention Juv","Wooten, Christopher","301 Foxtail Run"
"1308",200000003225,"1/16/2020  12:51:35 PM","Disturbance - Phys/Fight","No Report","Castillo, DJ","2601 Rattler Rd"
"1309",200000003227,"1/16/2020  1:02:14 PM","Assault","No Report","Marroquin, Christopher","1301 Wonder World Dr"
"1310",200000003228,"1/16/2020  1:03:26 PM","Harassment","No Report","Williamson, Jamie","329 Newberry Trl"
"1311",200000003230,"1/16/2020  2:36:51 PM","Directed/Area Enforcement","No Report","Dehkordi, John","700 W Hopkins St"
"1312",200000003233,"1/16/2020  2:41:03 PM","Vehicle Theft","Ignore","","237 Horse Shoe Bend Rd"
"1313",200000003236,"1/16/2020  2:43:07 PM","Property - Lost/Found/Imp","No Report","Charleswell, Eric","2300 S IH 35"
"1314",200000003239,"1/16/2020  2:45:51 PM","Suspicious Circumstances","No Report","Mueller, Justin","1015 Hwy 80"
"1315",200000003241,"1/16/2020  2:51:44 PM","Accident - Minor","Arrest","Allen, Ashley","2050 S IH 35"
"1316",200000003242,"1/16/2020  2:52:48 PM","Animal Call","Ref Oth Agncy","","118 Wisteria Way"
"1317",200000003245,"1/16/2020  2:56:05 PM","Accident - Minor","Report","Dehkordi, John","N Bishop St/Craddock Ave"
"1318",200000003246,"1/16/2020  2:56:31 PM","Child Custody","No Report","Allen, Ashley","205 S C M Allen Pkwy"
"1319",200000003247,"1/16/2020  2:58:02 PM","Sexual Assault","Report","Dehkordi, John","2300 S IH 35"
"1320",200000003249,"1/16/2020  3:09:00 PM","Disturbance - Verbal","No Report","Williams, Jack","1214 S IH 35"
"1321",200000003250,"1/16/2020  3:10:33 PM","Disturbance - Phys/Fight","No Report","Castillo, DJ","2601 Rattler Rd"
"1322",200000003251,"1/16/2020  3:13:48 PM","Accident - Major/Injury","Report","Marroquin, Christopher","Centerpoint Rd/E Access Rd"
"1323",200000003252,"1/16/2020  3:27:35 PM","Assist Outside Agency","No Contact","Williams, Jack","338 S Guadalupe St"
"1324",200000003253,"1/16/2020  3:32:26 PM","Welfare Concern","No Report","Marroquin, Christopher","401 Roosevelt St"
"1325",200000003255,"1/16/2020  3:42:02 PM","Welfare Concern","No Report","Allen, Ashley","E Access Rd/Hwy 80"
"1326",200000003256,"1/16/2020  3:42:47 PM","Welfare Concern","No Report","Williams, Jack","205 NB"
"1327",200000003257,"1/16/2020  3:44:00 PM","Wanted Person","Arrest","Mueller, Justin","1004 N IH 35"
"1328",200000003260,"1/16/2020  3:56:43 PM","Welfare Concern","No Report","Williams, Jack","207 SB"
"1329",200000003263,"1/16/2020  4:16:53 PM","Investigation","No Report","Marroquin, Christopher","1307 Uhland Rd"
"1330",200000003265,"1/16/2020  4:28:34 PM","Investigation","No Report","Castillo, DJ","2601 Rattler Rd"
"1331",200000003267,"1/16/2020  4:34:55 PM","Public Assist","No Report","Loring, Elizabeth","2300 S IH 35"
"1332",200000003270,"1/16/2020  4:46:04 PM","Accident - Minor","Blue Form Issue","","518 N LBJ DR"
"1333",200000003269,"1/16/2020  4:46:57 PM","Animal Call","No Report","Mueller, Justin","Centerpoint Rd/Centerpoint Ct"
"1334",200000003277,"1/16/2020  5:44:02 PM","Loose Livestock","No Report","Loring, Elizabeth","1302 Centerpoint Rd"
"1335",200000003278,"1/16/2020  5:46:08 PM","Accident - Minor","Report","Contreras, Ysidro","901 Hwy 80"
"1336",200000003279,"1/16/2020  5:52:42 PM","Mental Health Invest","No Report","Sheridan, Grant","614 N Bishop St"
"1337",200000003284,"1/16/2020  6:45:52 PM","Attempt to Locate","No Contact","","209 SB"
"1338",200000003285,"1/16/2020  6:49:02 PM","Attempt to Locate","No Contact","","210 SB"
"1339",200000003287,"1/16/2020  7:00:02 PM","Endanger/Abandon","No Report","Cope, John","1300 Girard Ave"
"1340",200000003289,"1/16/2020  7:22:02 PM","Theft","Arrest","Greenwood, Amy","338 S Guadalupe St"
"1341",200000003291,"1/16/2020  7:34:31 PM","Supplement","No Report","Bennett, Caitlyn","2300 S IH 35"
"1342",200000003292,"1/16/2020  7:46:53 PM","Welfare Concern","Arrest","Greenwood, Amy","Aquarena Springs Dr/River Rd"
"1343",200000003296,"1/16/2020  8:18:56 PM","Civil Matter","No Report","Tennant, Casey","107 Chaparral Rd"
"1344",200000003314,"1/16/2020  9:57:43 PM","Accident - Minor","Blue Form Issue","Anderson, Dillan","1200blk N IH 35"
"1345",200000003334,"1/16/2020  11:17:27 PM","Assist Outside Agency","No Report","Williamson, Jamie","139 Bogie Dr"
"1346",200000003336,"1/16/2020  11:32:40 PM","Fireworks","No Report","Melendrez, Jacinto","107 Chaparral Rd"
"1347",200000003341,"1/16/2020  11:58:49 PM","Attempt to Locate","No Contact","Tennant, Casey","202 NB"
"1348",200000003346,"1/17/2020  12:11:40 AM","Suspicious Vehicle","No Report","Contreras, Ysidro","555 Cheatham St"
"1349",200000003354,"1/17/2020  12:25:31 AM","Suspicious Vehicle","No Report","Tureaud, Benjamin","700 Barnes Dr"
"1350",200000003356,"1/17/2020  12:27:24 AM","Disturbance - Phys/Fight","Multiple Arrest","Morenz, Darby","120 E San Antonio St"
"1351",200000003358,"1/17/2020  12:32:48 AM","Suspicious Vehicle","Cancelled","Mueller, Justin","2980 S IH 35"
"1352",200000003359,"1/17/2020  12:34:48 AM","Suspicious Vehicle","No Report","Tennant, Casey","850 Barnes Dr"
"1353",200000003360,"1/17/2020  12:40:27 AM","Pedestrian Stop","Verbal Warning","Melendrez, Jacinto","E Hopkins St/N LBJ Dr"
"1354",200000003363,"1/17/2020  12:48:06 AM","Public Intoxication","No Report","Bennett, Caitlyn","137 N Guadalupe St"
"1355",200000003366,"1/17/2020  12:52:46 AM","Theft","No Report","Williamson, Jamie","Bugg Ln/Clarewood Dr"
"1356",200000003372,"1/17/2020  1:18:55 AM","Investigation","No Report","Bennett, Caitlyn","124 N LBJ Dr"
"1357",200000003373,"1/17/2020  1:20:16 AM","Investigation","No Report","Bennett, Caitlyn","138 N LBJ Dr"
"1358",200000003375,"1/17/2020  1:27:12 AM","Investigation","No Report","Morenz, Darby","124 N LBJ Dr"
"1359",200000003377,"1/17/2020  1:28:06 AM","Assault","Report","Greenwood, Amy","1701 Mill St"
"1360",200000003378,"1/17/2020  1:44:39 AM","Foot Patrol","No Report","Foster, Norman","100 W Hopkins St"
"1361",200000003379,"1/17/2020  1:50:22 AM","Disturbance - Phys/Fight","Arrest","Melendrez, Jacinto","400 Linda Dr"
